release_year,platform,total_titles
1999,Netflix,39
2000,"Amazon Prime",81
2000,Disney+,26
2000,Hulu,23
2000,Netflix,37
2001,"Amazon Prime",82
2001,Disney+,18
2001,Hulu,28
2001,Netflix,45
2002,"Amazon Prime",92
2002,Disney+,21
2002,Hulu,25
2002,Netflix,51
2003,"Amazon Prime",81
2003,Disney+,29
2003,Hulu,31
2003,Netflix,61
2004,"Amazon Prime",103
2004,Disney+,28
2004,Hulu,37
2004,Netflix,64
2005,"Amazon Prime",112
2005,Disney+,32
2005,Hulu,42
2005,Netflix,80
2006,"Amazon Prime",138
2006,Disney+,32
2006,Hulu,57
2006,Netflix,96
2007,"Amazon Prime",176
2007,Disney+,23
2007,Hulu,47
2007,Netflix,88
2008,"Amazon Prime",171
2008,Disney+,33
2008,Hulu,46
2008,Netflix,136
2009,"Amazon Prime",149
2009,Disney+,35
2009,Hulu,78
2009,Netflix,152
2010,"Amazon Prime",186
2010,Disney+,39
2010,Hulu,73
2010,Netflix,194
2011,"Amazon Prime",252
2011,Disney+,52
2011,Hulu,86
2011,Netflix,185
2012,"Amazon Prime",252
2012,Disney+,41
2012,Hulu,119
2012,Netflix,237
2013,"Amazon Prime",289
2013,Disney+,32
2013,Hulu,126
2013,Netflix,288
2014,"Amazon Prime",391
2014,Disney+,50
2014,Hulu,129
2014,Netflix,352
2015,"Amazon Prime",378
2015,Disney+,46
2015,Hulu,163
2015,Netflix,560
2016,"Amazon Prime",521
2016,Disney+,61
2016,Hulu,165
2016,Netflix,902
2017,"Amazon Prime",562
2017,Disney+,69
2017,Hulu,229
2017,Netflix,1032
2018,"Amazon Prime",623
2018,Disney+,65
2018,Hulu,270
2018,Netflix,1147
2019,"Amazon Prime",929
2019,Disney+,99
2019,Hulu,412
2019,Netflix,1030
2020,"Amazon Prime",962
2020,Disney+,114
2020,Hulu,377
2020,Netflix,953
2021,"Amazon Prime",1442
2021,Disney+,125
2021,Hulu,226
2021,Netflix,592
